id,Unnamed: 0,Unnamed: 0.1,author_id,date,favorites,hashtags,mentions,retweets,text,url,Relevant,Violent,Incites,Threat,Anger,Upset,Neutral
498344364641648640,10272,10272,225176848,2014-08-10 05:45:29,0,#FergusonShooting #MichaelBrown #ferguson #mo,,0,#FergusonShooting #MichaelBrown i raised my teenage son in #ferguson #mo i can't process this ..too much,,1.0,0.0,0.0,0.0,1.0,0.0,0.0
498572437395865601,10273,10273,241000988,2014-08-10 20:51:46,0,,@Laurens_Reel,0,@Laurens_Reel yeah I'll let you know it's a ridiculous situation. We were just talking about Michael Brown . And thanks triplet! Sounds good!,,1.0,0.0,0.0,0.0,0.0,1.0,0.0
498533443538796544,10274,10274,462629209,2014-08-10 18:16:49,0,,@slb79,0,"""When Parenting Feels Like a Fool’s Errand: On the Death of Michael Brown "" @slb79 --> http:// buff.ly/1mA7GBP",http://buff.ly/1mA7GBP,1.0,0.0,0.0,0.0,0.0,1.0,0.0
498852634535555073,10275,10275,279888618,2014-08-11 15:25:10,0,,,0,"Looting, riots follow protests over slain Mo. teen: What started as a candlelight vigil for Michael Brown , the... http:// dlvr.it/6Zr0bB",http://dlvr.it/6Zr0bB,1.0,0.0,0.0,0.0,0.0,0.0,1.0
498856743028277249,10276,10276,51067687,2014-08-11 15:41:30,0,#QuikTrip #STL #MichaelBrown #riots #Pray4STL,@foxonfox,0,from @foxonfox #QuikTrip is on fire... #STL #MichaelBrown #riots #Pray4STL http:// instagram.com/p/rkDpXnoyB2/,http://instagram.com/p/rkDpXnoyB2/,1.0,1.0,0.0,0.0,0.0,0.0,0.0
498496702299398144,10277,10277,38499587,2014-08-10 15:50:50,0,#NoJustice #WeAreBetterThanThis #DamnPigs,,0,Michael Brown was MURDERED by the Police. #NoJustice #WeAreBetterThanThis #DamnPigs,,1.0,0.0,0.0,0.0,1.0,0.0,0.0
498649562878607360,10278,10278,1593839660,2014-08-11 01:58:14,0,#Ferguson #MichaelBrown,@newsone @rolandsmartin @MichaelSkolnik @CNN @msnbc,1,@newsone @rolandsmartin ..but #Ferguson police seem 2 b tryin 2 instigate violence w/ #MichaelBrown protesters!! @MichaelSkolnik @CNN @msnbc,,1.0,0.0,0.0,0.0,0.0,0.0,1.0
498493186395086848,10279,10279,175175432,2014-08-10 15:36:51,0,#MichaelBrown,,0,The convenient amnesia when shit like this happens is bullshit. #MichaelBrown,,1.0,0.0,0.0,0.0,1.0,0.0,0.0
498473244878712832,10280,10280,74885606,2014-08-10 14:17:37,0,,,0,This is a headline for ESPN not CNN. Talk about Michael Brown pic.twitter.com/6inTZULPJW,,1.0,0.0,0.0,0.0,0.0,1.0,0.0
498970471891607552,10281,10281,2676264470,2014-08-11 23:13:25,0,,,0,The death of Michael Brown is pure racism,,1.0,0.0,0.0,0.0,1.0,0.0,0.0
498541393661669376,10282,10282,176954731,2014-08-10 18:48:25,1,#MichaelBrown,,1,https:// twitter.com/kickpushvibe/s tatus/497550526675161088 … Justice for #MichaelBrown | FUCK THE POLICE,https://twitter.com/kickpushvibe/status/497550526675161088,1.0,0.0,0.0,0.0,1.0,0.0,0.0
498859677166628864,10283,10283,1098276001,2014-08-11 15:53:10,1,#MichaelBrown #Ferguson #fellow,@ajplus,0,"#MichaelBrown killing sparked anti-police protests in #Ferguson . Witnesses say Brown unarmed, hands up when police shot. #fellow @ajplus",,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
498974973957267458,10284,10284,600992035,2014-08-11 23:31:18,1,#MichaelBrown,,4,Outside of Murchison Church where NAACP is holding community event for #MichaelBrown shooting. At capacity! pic.twitter.com/J5grLUhFvu,,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
498822804385837056,10285,10285,23677379,2014-08-11 13:26:38,0,#MichaelBrown,@DG_theWryter,0,"""@DG_theWryter: My whole timeline is talking about the real story of #MichaelBrown . I love it."" we tired of this crap happening.",,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
498969266595835906,10286,10286,201399468,2014-08-11 23:08:38,0,,@michaelbrown,0,@michaelbrown _10 LOL only you it would happen to,,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
498569040320028673,10287,10287,1289848416,2014-08-10 20:38:16,1,#MichaelBrown #t,,3,Dorian Johnson with #MichaelBrown gives eyewitness account of shooting Ferguson MO https://www. youtube.com/watch?v=CyZdda nz2VM#t=99 …,https://www.youtube.com/watch?v=CyZddanz2VM#t=99,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
498893078867247104,10288,10288,1850779916,2014-08-11 18:05:53,2,#MichaelBrown,,0,"So at what point do you start shooting first, an eye for an eye. No Let's march some more while they keep killing us. #MichaelBrown",,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
498954426313605120,10289,10289,339234830,2014-08-11 22:09:40,0,,,0,If Michael Brown was white no one would give a shit.,,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
